# Wlen(nm) Flux Flux_err
1.921310361799064594e+03 0.000000000000000000e+00 7.750403674094656914e+00
1.921316966954166674e+03 0.000000000000000000e+00 6.703570037039469298e+01
1.921323571978172595e+03 0.000000000000000000e+00 1.174943400081609646e+01
1.921330176871079630e+03 0.000000000000000000e+00 1.190445509292991533e+00
1.921336781632884367e+03 0.000000000000000000e+00 1.627459015491716232e-01
1.921343386263583852e+03 0.000000000000000000e+00 1.351811913197284165e-01
1.921349990763175356e+03 0.000000000000000000e+00 1.397520756115795126e-01
1.921356595131655695e+03 0.000000000000000000e+00 1.374096477830041019e-01
1.921363199369021686e+03 0.000000000000000000e+00 1.373612283218012819e-01
1.921369803475270601e+03 0.000000000000000000e+00 1.369562768327203528e-01
1.921376407450399029e+03 6.220565072558786185e-03 8.410636582849771682e-04
1.921383011294404241e+03 6.814890144723593016e-03 8.397835154347571378e-04
1.921389615007283282e+03 8.484114393725601666e-03 8.928396279003195015e-04
1.921396218589032515e+03 7.101595613510838095e-03 8.391514832939484837e-04
1.921402822039649664e+03 8.349479597581128607e-03 8.914617135944170314e-04
1.921409425359131546e+03 9.120707826761702969e-03 9.270183958051023913e-04
1.921416028547474752e+03 9.307593815656035191e-03 9.220734863696214770e-04
1.921422631604676553e+03 1.006229736144889815e-02 9.361681474816687222e-04
1.921429234530733765e+03 9.997653663883658559e-03 9.432732790797874979e-04
1.921435837325643433e+03 9.699325419743325127e-03 9.381758974372812494e-04
1.921442439989402828e+03 1.029808998437322168e-02 9.415558165025060761e-04
1.921449042522008313e+03 9.995097354116917743e-03 9.180857585833878537e-04
1.921455644923457385e+03 1.071724942350606863e-02 9.387602467203134135e-04
1.921462247193746634e+03 1.134586892556111067e-02 9.684711217854574151e-04
1.921468849332873560e+03 1.240632708067030548e-02 9.869658768228658542e-04
1.921475451340834297e+03 1.177102078105270178e-02 9.632642241058655096e-04
1.921482053217626571e+03 1.083577414850385098e-02 9.591382229450418810e-04
1.921488654963247200e+03 1.138388697954254708e-02 9.717471853968917593e-04
1.921495256577692999e+03 1.086790226752428964e-02 9.552260225125196180e-04
1.921501858060960785e+03 1.107990939864601440e-02 9.592901015761342350e-04
1.921508459413048058e+03 1.096726199761195383e-02 9.344763017752504616e-04
1.921515060633951407e+03 1.102944672201877294e-02 9.590828387716486981e-04
1.921521661723667876e+03 1.070361692233576072e-02 9.534151650094980276e-04
1.921528262682194281e+03 1.003353811205550533e-02 9.148710310364955743e-04
1.921534863509527895e+03 9.953293750078962693e-03 9.024639515187695337e-04
1.921541464205665307e+03 8.637889910571860258e-03 8.642598912786325291e-04
1.921548064770604014e+03 7.603493366597208550e-03 8.298721849232441970e-04
1.921554665204340608e+03 7.720814379303039821e-03 8.311010163524410995e-04
1.921561265506872360e+03 6.236874839949464039e-03 7.690666996580209714e-04
1.921567865678195858e+03 6.094858856418288590e-03 7.869643088744516461e-04
1.921574465718308147e+03 5.665253749946206133e-03 7.935288606589328440e-04
1.921581065627206499e+03 5.669796637982136255e-03 7.696547815292751477e-04
1.921587665404887730e+03 6.151885712144460755e-03 7.704957295370324028e-04
1.921594265051348884e+03 6.548888092321944465e-03 7.759393473497381774e-04
