# Wlen(nm) Flux Flux_err
1.921320389789533465e+03 0.000000000000000000e+00 6.491896278293287637e+00
1.921326990567523808e+03 0.000000000000000000e+00 5.615047061380125371e+01
1.921333591227253009e+03 0.000000000000000000e+00 9.841565687333133639e+00
1.921340191768717432e+03 0.000000000000000000e+00 9.971414517570770242e-01
1.921346792191912982e+03 0.000000000000000000e+00 1.363192882592620392e-01
1.921353392496835340e+03 0.000000000000000000e+00 1.132305244637867858e-01
1.921359992683480868e+03 0.000000000000000000e+00 1.170591904237238134e-01
1.921366592751845474e+03 0.000000000000000000e+00 1.150971250730728063e-01
1.921373192701925291e+03 0.000000000000000000e+00 1.150565679442834971e-01
1.921379792533716000e+03 0.000000000000000000e+00 1.147173723132687145e-01
1.921386392247213507e+03 3.720202041110044489e-01 3.907652295725064402e-03
1.921392991842413949e+03 3.728869726783388128e-01 3.900696809631175842e-03
1.921399591319313913e+03 3.817188337589505487e-01 3.933329080748520883e-03
1.921406190677908171e+03 4.008125867515754948e-01 4.007670959943515805e-03
1.921412789918193766e+03 4.068007751171122122e-01 4.047748378399056331e-03
1.921419389040166379e+03 4.154464617668480741e-01 4.094009604629285023e-03
1.921425988043821690e+03 4.228326806354471001e-01 4.139345491375757795e-03
1.921432586929156059e+03 4.303900108846205885e-01 4.145077398051956463e-03
1.921439185696165396e+03 4.399800484061909267e-01 4.178039358599569021e-03
1.921445784344845379e+03 4.479668061768116161e-01 4.228596307777237120e-03
1.921452382875192598e+03 4.449909485174570190e-01 4.197114025733285347e-03
1.921458981287202505e+03 4.470978951517129429e-01 4.207348587688833873e-03
1.921465579580871236e+03 4.702722921033413161e-01 4.307238087046793944e-03
1.921472177756194924e+03 4.712813204365771114e-01 4.312135196511323633e-03
1.921478775813169705e+03 4.638062071072121539e-01 4.256947500368750414e-03
1.921485373751790803e+03 4.720580118283013715e-01 4.303970313178698097e-03
1.921491971572055036e+03 4.786217599577720083e-01 4.333525011157900522e-03
1.921498569273958083e+03 4.765395433102163625e-01 4.302613598073038413e-03
1.921505166857495851e+03 4.719315039028563197e-01 4.291893522547870175e-03
1.921511764322664476e+03 4.730391515567593519e-01 4.292594370941229392e-03
1.921518361669459864e+03 4.638793426923011332e-01 4.219021392172743815e-03
1.921524958897878150e+03 4.522166948439625411e-01 4.156496233070960944e-03
1.921531556007915015e+03 4.354297634571070441e-01 4.117536745295522979e-03
1.921538152999566591e+03 4.188535850296269958e-01 4.016773088125726726e-03
1.921544749872829243e+03 3.922689175861887034e-01 3.895906821564635095e-03
1.921551346627698194e+03 3.546950911388260241e-01 3.697980511966764139e-03
1.921557943264170262e+03 3.179895757568177439e-01 3.496808618296713429e-03
1.921564539782240900e+03 2.717661926635078218e-01 3.254418413670868201e-03
1.921571136181906240e+03 2.360081905213126663e-01 3.032289897250228187e-03
1.921577732463162192e+03 2.172059982576308446e-01 2.901033661459778788e-03
1.921584328626004890e+03 2.196119563187092227e-01 2.922025803234953346e-03
1.921590924670430468e+03 2.438445875670086083e-01 3.071618444666980238e-03
1.921597520596434606e+03 2.682296056255000227e-01 3.206852480352952780e-03
1.921604116404013439e+03 2.910785951668644067e-01 3.319876744355737021e-03
1.921610712093162874e+03 3.056107923477427990e-01 3.421607598984337077e-03
1.921617307663879046e+03 2.941262055827766897e-01 3.365226861099013082e-03
1.921623903116157635e+03 2.685077581461920992e-01 3.221871482913533664e-03
1.921630498449995230e+03 2.248936654987595818e-01 2.917852931544068305e-03
1.921637093665387283e+03 1.667473024419270367e-01 2.528489090518348543e-03
1.921643688762329930e+03 1.047644153990111016e-01 2.031727036771614064e-03
1.921650283740819077e+03 5.601201826344487378e-02 1.552008980287397817e-03
1.921656878600851087e+03 3.191462977967259723e-02 1.227715304176815563e-03
1.921663473342421639e+03 2.798951862115957312e-02 1.160529933814593564e-03
1.921670067965526641e+03 4.098107420299558490e-02 1.348489678641425632e-03
1.921676662470162228e+03 5.417267555220826869e-02 1.494331069021166388e-03
1.921683256856324533e+03 5.642152519380445874e-02 1.539969524575104465e-03
1.921689851124009238e+03 4.516019947762740794e-02 1.419562385309815818e-03
1.921696445273212703e+03 2.581485473382300749e-02 1.120785230015098992e-03
1.921703039303930609e+03 1.452233967193116565e-02 9.064348812244730743e-04
1.921709633216159091e+03 1.018516915433683237e-02 8.170847507583863792e-04
1.921716227009894055e+03 9.610582122454202486e-03 8.052532862329242133e-04
1.921722820685131637e+03 1.653558379708362086e-02 9.712666798631397784e-04
1.921729414241867744e+03 3.214520338395919496e-02 1.224343464880736686e-03
1.921736007680098510e+03 6.144387165618805241e-02 1.583880635875633582e-03
1.921742600999819615e+03 1.139412638489467888e-01 2.060693590663850456e-03
1.921749194201027194e+03 1.796974353898531662e-01 2.541806846918653450e-03
1.921755787283717154e+03 2.515478890057291639e-01 3.016750821960447523e-03
1.921762380247885858e+03 3.171072758964110783e-01 3.346584207076469791e-03
1.921768973093528984e+03 3.700613068058385968e-01 3.628217892188633723e-03
1.921775565820642896e+03 4.250036230144609295e-01 3.863040302051656133e-03
1.921782158429222818e+03 4.675957484504787431e-01 4.041511813786521044e-03
1.921788750919265340e+03 5.060418446843193419e-01 4.192700833538422905e-03
1.921795343290766596e+03 5.434682207252709008e-01 4.349049870159374040e-03
1.921801935543722038e+03 5.697004027315353270e-01 4.430008253090885958e-03
1.921808527678128030e+03 6.015714812855714744e-01 4.550954045795625388e-03
1.921815119693980478e+03 6.155528202016637973e-01 4.590929957815213097e-03
1.921821711591275516e+03 6.377695122323010501e-01 4.664384301172385359e-03
1.921828303370008598e+03 6.563910360608242733e-01 4.716364472745517011e-03
1.921834895030176540e+03 6.733555464287210857e-01 4.779704160680668494e-03
1.921841486571774567e+03 6.840267057931370687e-01 4.800743979997095304e-03
1.921848077994799269e+03 6.998962900781178220e-01 4.882124280795023356e-03
1.921854669299246552e+03 7.075128230828764408e-01 4.890156924732123878e-03
1.921861260485111870e+03 7.260460513789053216e-01 4.970764334254164189e-03
1.921867851552391812e+03 7.307992213995838648e-01 4.963644392339958827e-03
1.921874442501082285e+03 7.402029031624147715e-01 4.999202180594888335e-03
1.921881033331178969e+03 7.442083475047863717e-01 4.974087615156311606e-03
1.921887624042678226e+03 7.579448366768315459e-01 5.027311767760582993e-03
1.921894214635575736e+03 7.615015757689455045e-01 5.051806635590730052e-03
1.921900805109867633e+03 7.648908660135373960e-01 5.049216419301213142e-03
1.921907395465550053e+03 7.690701043349159605e-01 5.037102893137980139e-03
1.921913985702618902e+03 7.788214806677322688e-01 5.074632763613465790e-03
1.921920575821069860e+03 7.772451050046564891e-01 5.065878526369260032e-03
1.921927165820899290e+03 7.762870246745994240e-01 5.053971326903751449e-03
1.921933755702103554e+03 7.885002364063199431e-01 5.088553736123707996e-03
1.921940345464677648e+03 7.920630666176551316e-01 5.111671502960666094e-03
1.921946935108618391e+03 7.951050317942819357e-01 5.103744864100372321e-03
1.921953524633921461e+03 8.067564292303326390e-01 5.149709303190109881e-03
1.921960114040582766e+03 8.053892035882861400e-01 5.158018617610675600e-03
1.921966703328598669e+03 8.077866849010126860e-01 5.169951379375183932e-03
1.921973292497964849e+03 8.136996048408808857e-01 5.171524177174805469e-03
1.921979881548677213e+03 8.160973894421106323e-01 5.163446706172563488e-03
1.921986470480732123e+03 8.169379792103251825e-01 5.144164896532208396e-03
1.921993059294125260e+03 8.224741433370779120e-01 5.186958133853034753e-03
1.921999647988852985e+03 8.234406575571763254e-01 5.181302804031117336e-03
1.922006236564910751e+03 8.222571935543960819e-01 5.172909862070491221e-03
1.922012825022294919e+03 8.263425581654917362e-01 5.186575957211126894e-03
1.922019413361001853e+03 8.226826154647102207e-01 5.187327863699553974e-03
1.922026001581026776e+03 8.285887199921657675e-01 5.176969754110307201e-03
1.922032589682366051e+03 8.268987602226104405e-01 5.185080741604324722e-03
1.922039177665015586e+03 8.264371249727937574e-01 5.192927123363417531e-03
1.922045765528971742e+03 8.297993023416818659e-01 5.219443947191612296e-03
1.922052353274229972e+03 8.296522226233502550e-01 5.171474538173619941e-03
1.922058940900786638e+03 8.349783447678751358e-01 5.193976222406800763e-03
1.922065528408637647e+03 8.297122427661428601e-01 5.179026939102466566e-03
1.922072115797779134e+03 8.415197991046945436e-01 5.207204301644567830e-03
1.922078703068206778e+03 8.435972405664993179e-01 5.220969975691994863e-03
1.922085290219916715e+03 8.418858167628320288e-01 5.230566131669668953e-03
1.922091877252905306e+03 8.392539884490637370e-01 5.251398522160825866e-03
1.922098464167167776e+03 8.372744369498988926e-01 5.179270883019928585e-03
1.922105050962700943e+03 8.425772478094593065e-01 5.177278456033432806e-03
1.922111637639500259e+03 8.474090285446240767e-01 5.203652664240067914e-03
1.922118224197562085e+03 8.462961924927343560e-01 5.196720789073394457e-03
1.922124810636882103e+03 8.515543387634639805e-01 5.216602308306384633e-03
1.922131396957456445e+03 8.538440286109738597e-01 5.221200313394093288e-03
1.922137983159281248e+03 8.500043390696709888e-01 5.201630130718808663e-03
1.922144569242352190e+03 8.527071329375406350e-01 5.264624035257929255e-03
1.922151155206665635e+03 8.447913192664238125e-01 5.194545938323979345e-03
1.922157741052217261e+03 8.518185067633099461e-01 5.225516066695030937e-03
1.922164326779003432e+03 8.490853647848526364e-01 5.204147719366353057e-03
1.922170912387019825e+03 8.445775792226972722e-01 5.215297234061083698e-03
1.922177497876262578e+03 8.365779811893252482e-01 5.210153857815182955e-03
1.922184083246727596e+03 8.354446108634002721e-01 5.213485598343576416e-03
1.922190668498411014e+03 8.202801685632191697e-01 5.131397438773950548e-03
1.922197253631308740e+03 8.191406480508007792e-01 5.143165783061883455e-03
1.922203838645416681e+03 8.054396397479935965e-01 5.098849456265520073e-03
1.922210423540730972e+03 7.766366795182340077e-01 4.975282122410377116e-03
1.922217008317247746e+03 7.481683156033223092e-01 4.901844541232703439e-03
1.922223592974962912e+03 7.132217731263841287e-01 4.792825718526187891e-03
1.922230177513872377e+03 6.535885620536651119e-01 4.609434412023005051e-03
1.922236761933972048e+03 6.002744485345810066e-01 4.413094719532254309e-03
1.922243346235258059e+03 5.528697998344398457e-01 4.202282753031256167e-03
1.922249930417726546e+03 5.307457305560504546e-01 4.091114619924536046e-03
1.922256514481373415e+03 5.464032005949219784e-01 4.163433579305001776e-03
1.922263098426194802e+03 5.966806129430952677e-01 4.363834307564265318e-03
1.922269682252186158e+03 6.589610500358907830e-01 4.591275242741293776e-03
1.922276265959344073e+03 7.099729122158950911e-01 4.770962010436089612e-03
1.922282849547664227e+03 7.533545380439155004e-01 4.901060977692519444e-03
1.922289433017142983e+03 7.856621732912063560e-01 4.976809430679166382e-03
1.922296016367775792e+03 8.146974648755700432e-01 5.076969042546029820e-03
1.922302599599559244e+03 8.424113620042110728e-01 5.135224109450713115e-03
1.922309182712489019e+03 8.549805956459255452e-01 5.572372885108442184e-03
1.922315765706561024e+03 8.673528916000430300e-01 5.634625742600734254e-03
1.922322348581771394e+03 8.699112958416110875e-01 5.238715027150541922e-03
1.922328931338116263e+03 8.778248116285005676e-01 5.262058137506314508e-03
1.922335513975591311e+03 8.792543643296759637e-01 5.277033519252024608e-03
1.922342096494192901e+03 8.845383954668446513e-01 5.296434302662451563e-03
1.922348678893916940e+03 8.880553678981930599e-01 5.260837791213775899e-03
1.922355261174759335e+03 8.863783211855498223e-01 5.253418143759269396e-03
1.922361843336715992e+03 8.884640603771589706e-01 5.277380501239515957e-03
1.922368425379783048e+03 8.946178297348317265e-01 5.289789386033888485e-03
1.922375007303956636e+03 8.948578233789912240e-01 5.296013931698468832e-03
1.922381589109232664e+03 8.898738868125580792e-01 5.293861193040681062e-03
1.922388170795607266e+03 8.906480868904846915e-01 5.280151712733324038e-03
1.922394752363075895e+03 9.039636166371837200e-01 5.329563266596583186e-03
1.922401333811634913e+03 8.967058420301953214e-01 5.289672453569477586e-03
1.922407915141280682e+03 8.941594956988019316e-01 5.305339571699114326e-03
1.922414496352008655e+03 8.900261148678401124e-01 5.270295990473794490e-03
1.922421077443814966e+03 8.898010455470743985e-01 5.256396981620926889e-03
1.922427658416696204e+03 8.927945896707237816e-01 5.284109681823018559e-03
1.922434239270647367e+03 8.891620306129870421e-01 5.243855119103277111e-03
1.922440820005665273e+03 8.853832222627908699e-01 5.253433220120181692e-03
1.922447400621745373e+03 8.727068993623582349e-01 5.198606203263139540e-03
1.922453981118884030e+03 8.552849301225858847e-01 5.166741955768736592e-03
1.922460561497077151e+03 8.508051560485263565e-01 5.162561200577642576e-03
1.922467141756320643e+03 8.487609141623229103e-01 5.129470610773174781e-03
1.922473721896610868e+03 8.620128712465432441e-01 5.178066278064053819e-03
1.922480301917943507e+03 8.804712411860733390e-01 5.228077285139277018e-03
1.922486881820314466e+03 8.945218177459136610e-01 5.276894290761844145e-03
1.922493461603719879e+03 8.974115689508421756e-01 5.303127391415066519e-03
1.922500041268155883e+03 9.111394582252422270e-01 5.323342339771714241e-03
1.922506620813618383e+03 9.113666082355935671e-01 5.321362094362681351e-03
1.922513200240103515e+03 9.098245615755958804e-01 5.292348550833576339e-03
1.922519779547606959e+03 9.104342365906764600e-01 5.316438461175819474e-03
1.922526358736124848e+03 9.215075231076251816e-01 5.417885748379070408e-03
1.922532937805653319e+03 9.213989091811970455e-01 5.354398457377565305e-03
1.922539516756188505e+03 9.211909529186912415e-01 5.349457948047311832e-03
1.922546095587726086e+03 9.264576722477544379e-01 5.375308238321567858e-03
1.922552674300262197e+03 9.262721832723983528e-01 5.380376512353088857e-03
1.922559252893792973e+03 9.351201450898143364e-01 5.406262776050420327e-03
1.922565831368314093e+03 9.318331720312484912e-01 5.350692938466291432e-03
1.922572409723821920e+03 9.292849317512061891e-01 5.360637640471385690e-03
1.922578987960312361e+03 9.303692305182799105e-01 5.354209824195777997e-03
1.922585566077781095e+03 9.314385269563416614e-01 5.333346906366483696e-03
1.922592144076224713e+03 9.306483396205276204e-01 5.325654816598652391e-03
1.922598721955638894e+03 9.293194340878763171e-01 5.341453036225744105e-03
1.922605299716019545e+03 9.282346855444101319e-01 5.359306009600476976e-03
1.922611877357362800e+03 9.329506870501493854e-01 5.371242869334258256e-03
1.922618454879664569e+03 9.299153092762811879e-01 5.378520201798831467e-03
1.922625032282921211e+03 9.298461322939690632e-01 5.362269406309324096e-03
1.922631609567128407e+03 9.322237104177916178e-01 5.408881941938768236e-03
1.922638186732282293e+03 9.282622871743270165e-01 5.337215304849701226e-03
1.922644763778378547e+03 9.239970722687933513e-01 5.326404370789027815e-03
1.922651340705413531e+03 9.248899461489954454e-01 5.328491574053190703e-03
1.922657917513383381e+03 9.274378943942692688e-01 5.339401599188810243e-03
1.922664494202283777e+03 9.250439820240172750e-01 5.326244074320426493e-03
1.922671070772110852e+03 9.299856538459880806e-01 5.357655881722050636e-03
1.922677647222860514e+03 9.202503934212267200e-01 5.324173190534318111e-03
1.922684223554528899e+03 9.195744974347479506e-01 5.405228322763162320e-03
1.922690799767112139e+03 9.166069201079665163e-01 5.292847686308587915e-03
1.922697375860606144e+03 9.131113015639644725e-01 5.309813367441575463e-03
1.922703951835006592e+03 9.105739346475396623e-01 5.308583024397831376e-03
1.922710527690309618e+03 9.001874049330216288e-01 5.276916961479238659e-03
1.922717103426512040e+03 8.937348896252677033e-01 5.252099325076853113e-03
1.922723679043608627e+03 8.925441632472509434e-01 5.251576223900404281e-03
1.922730254541596196e+03 8.837986284655974245e-01 5.211667807616679818e-03
1.922736829920470200e+03 8.768643151614528009e-01 5.164240461749383150e-03
1.922743405180227455e+03 8.681130976776985086e-01 5.173244499307634754e-03
1.922749980320863415e+03 8.506305605209143472e-01 5.115465463741669661e-03
1.922756555342373986e+03 8.325270813673799619e-01 5.048190606153473044e-03
1.922763130244755303e+03 8.080513497084303998e-01 4.994930554150273268e-03
1.922769705028003500e+03 7.669934886085940651e-01 4.868094606230385230e-03
1.922776279692114713e+03 7.259376451737629132e-01 4.751646578979429499e-03
1.922782854237084621e+03 6.812142865844690309e-01 4.609353104907781308e-03
1.922789428662909131e+03 6.114163184790999406e-01 4.370103497799419923e-03
1.922796002969584833e+03 5.257276402541259941e-01 4.080463699878474938e-03
1.922802577157107180e+03 4.422845520069965675e-01 3.707605535930259474e-03
1.922809151225472533e+03 3.609145963770026277e-01 3.350082022669312060e-03
1.922815725174676800e+03 3.152180124842678954e-01 3.159825623319546806e-03
1.922822299004715887e+03 3.253288828768007290e-01 3.195580739785177943e-03
1.922828872715585703e+03 3.839708096004690319e-01 3.477132219951781147e-03
1.922835446307282837e+03 4.671147445182660674e-01 3.826603116374206748e-03
1.922842019779802740e+03 5.610343364770045138e-01 4.184171048391913290e-03
1.922848593133141549e+03 6.330011558916341929e-01 4.452765391491955195e-03
1.922855166367295169e+03 6.938653479668744906e-01 4.613537630810890522e-03
1.922861739482259964e+03 7.421620447287653466e-01 4.762230653879088137e-03
1.922868312478031612e+03 7.727664070089204085e-01 4.871018309168880130e-03
1.922874885354606249e+03 8.070848710755090805e-01 4.974681466537834301e-03
1.922881458111979782e+03 8.199096748447474159e-01 5.017767960939252883e-03
1.922888030750148346e+03 8.277129465121427776e-01 5.066982791073634806e-03
1.922894603269108075e+03 8.450125599808167021e-01 5.114214774248721299e-03
1.922901175668854876e+03 8.459287656589540294e-01 5.142349443482943129e-03
1.922907747949384657e+03 8.413728871799693865e-01 5.124756793547589895e-03
1.922914320110693325e+03 8.446659803779443809e-01 5.118319744214597580e-03
1.922920892152777242e+03 8.355913169893413039e-01 5.069263010504598127e-03
1.922927464075632315e+03 8.147169436993162428e-01 5.012581900541717046e-03
1.922934035879254225e+03 7.969664527606636906e-01 5.006850396328594265e-03
1.922940607563639333e+03 7.634451171690534999e-01 4.871052499913399586e-03
1.922947179128783546e+03 7.365461484572337625e-01 4.791164907224179995e-03
1.922953750574682999e+03 7.074282459901968245e-01 4.683118577534990321e-03
1.922960321901333373e+03 6.964829143061561645e-01 4.660641587653262946e-03
1.922966893108731028e+03 7.113766625575964619e-01 4.685931844255568184e-03
1.922973464196872101e+03 7.439878385419869122e-01 4.766812151192153894e-03
1.922980035165752042e+03 7.773968843666336781e-01 4.876378421386552177e-03
1.922986606015367215e+03 8.045743702808814124e-01 4.966280382066178174e-03
1.922993176745713527e+03 8.307112584914517761e-01 5.079818957054802429e-03
1.922999747356787566e+03 8.572626946795813829e-01 5.150774411457517687e-03
1.923006317848584331e+03 8.756763894083603450e-01 5.194616236773825363e-03
1.923012888221100411e+03 8.780985906582765566e-01 5.200571040189458719e-03
1.923019458474331714e+03 8.922448380109216926e-01 5.274956608117434796e-03
1.923026028608274601e+03 8.930981186813078399e-01 5.240103520176427401e-03
1.923032598622924525e+03 8.999490488377847042e-01 5.264322064708421012e-03
