name,pRT_name,Hill_notation,mass,color,mathtext_name,C,O,H,N,S
Al,27Al__Kurucz,Al,26.981539,C0,Al,0,0,0,0,0
AlCl,27Al-35Cl__YNAT,Al1Cl1,61.950391,C1,AlCl,0,0,0,0,0
AlH,27Al-1H__AloHa,Al1H1,27.98948,C2,AlH,0,0,1,0,0
AlO,27Al-16O__ATP,Al1O1,42.976454,C3,AlO,0,1,0,0,0
C2,12C2__8states,C2,24.0,C4,C$_2$,2,0,0,0,0
C2H2,12C2-1H2__aCeTY,C2H2,26.0,C5,C$_2$H$_2$,2,0,2,0,0
Ca,40Ca__Kurucz,Ca,40.078,C6,Ca,0,0,0,0,0
CaH,40Ca-1H__XAB,Ca1H1,40.970416,C7,CaH,0,0,1,0,0
CaO,40Ca-16O__VBATHY,Ca1O1,55.957506,C8,CaO,0,1,0,0,0
CaOH,40Ca-16O-1H__OYT6,Ca1H1O1,57.085,C9,CaOH,0,1,1,0,0
CH4,12C-1H4__MM,C1H4,16.0313,C10,CH$_4$,1,0,4,0,0
13CH4,13C-1H4__HITRAN,,17.034655,C11,$^{13}$CH$_4$,1,0,4,0,0
12CO,12C-16O__HITEMP,C1O1,28.01,C12,$^{12}$CO,1,1,0,0,0
C17O,12C-17O__HITEMP,,28.999130,C13,C$^{17}$O,1,1,0,0,0
C18O,12C-18O__HITEMP,,29.999161,C14,C$^{18}$O,1,1,0,0,0
13CO,13C-16O__HITEMP,,28.99827,C15,$^{13}$CO,1,1,0,0,0
CO2,12C-16O2__HITEMP,C1O2,43.989830,C16,CO$_2$,1,2,0,0,0
13CO2,13C-16O2__HITEMP,,44.993185,C17,$^{13}$CO$_2$,1,2,0,0,0
CO(17)O,12C-16O-17O__HITEMP,,44.994045,C18,CO$^{17}$O,1,2,0,0,0
CO(18)O,12C-16O-18O__HITEMP,,45.994076,C19,CO$^{18}$O,1,2,0,0,0
Cr,52Cr__Kurucz,Cr,51.9961,C17,Cr,0,0,0,0,0
CrH,52Cr-1H__MoLLIST,Cr1H1,52.948333,C18,CrH,0,0,1,0,0
CS,12C-32S__JnK,C1S1,43.972071,C19,CS,1,0,0,0,1
Cs,133Cs__Kurucz,Cs,132.91,C20,Cs,0,0,0,0,0
Fe,56Fe__Kurucz,Fe,55.845,C21,Fe,0,0,0,0,0
FeH,56Fe-1H__MoLLIST,Fe1H1,56.942762,C22,FeH,0,0,1,0,0
H2CO,1H2-12C-16O__AYTY,C1H2O1,30.010565,C23,H$_2$CO,1,1,2,0,0
H2CS,1H2-12C-32S__MOTY,C1H2S1,46.092,C24,H$_2$CS,1,0,2,0,1
H2,H2,H2,2.016,C0,H$_2$,0,0,2,0,0
H2_lines,1H2__RACPPK,H2,2.016,C0,H$_2$,0,0,2,0,0
H2O,1H2-16O__POKAZATEL,H2O1,18.010565,C25,H$_2$O,0,1,2,0,0
H2(17)O,1H2-17O__HotWat78,,19.01478176,C26,H$_2^{17}$O,0,1,2,0,0
H2(18)O,1H2-18O__HotWat78,,20.01504,C27,H$_2^{18}$O,0,1,2,0,0
HDO,PLACEHOLDER,,19.016842,C27,HDO,0,1,2,0,0
H2S,1H2-32S__AYT2,H2S1,33.987721,C28,H$_2$S,0,0,2,0,1
H3+,1H3_+__MiZATeP,,3.023475,C29,H$_3^+$,0,0,3,0,0
H3O+,1H3-16O_+__eXeL,H3O1+,19.0227,C30,H$_3$O$^+$,0,1,3,0,0
HCl,1H-35Cl__HITRAN-HCl,Cl1H1,35.976678,C31,HCl,0,0,1,0,0
HCN,1H-12C-14N__Harris,C1H1N1_1,27.010899,C32,HCN,1,0,1,1,0
He,He,He,4.002602,C1,He,0,0,0,0,0
HF,1H-19F__Coxon-Hajig,F1H1,20.00622819,C33,HF,0,0,1,0,0
K,39K__Kurucz,K,39.0983,C34,K,0,0,0,0,0
Li,7Li__Kurucz,Li,6.941,C35,Li,0,0,0,0,0
LiH,7Li-1H__CLT,H1Li1,8.02383,C36,LiH,0,0,1,0,0
LiOH,7Li-16O-1H__OYT7,H1Li1O1,23.948,C37,LiOH,0,1,1,0,0
Mg,24Mg__Kurucz,Mg,24.305,C38,Mg,0,0,0,0,0
MgH,24Mg-1H__XAB,H1Mg1,24.992867,C39,MgH,0,0,1,0,0
MgO,24Mg-16O__LiTY,Mg1O1,39.9799563,C40,MgO,0,1,0,0,0
Mn,55Mn__Kurucz,Mn,54.938044,C41,Mn,0,0,0,0,0
Na,23Na__Kurucz,Na,22.989769,C42,Na,0,0,0,0,0
NaH,23Na-1H__Rivlin,H1Na1,23.997594,C43,NaH,0,0,1,0,0
NaO,23Na-16O__NaOUCMe,Na1O1,38.9892,C44,NaO,0,1,0,0,0
NH3,14N-1H3__CoYuTe,H3N1,17.026549,C45,NH$_3$,0,0,3,1,0
15NH3,15N-1H3__CoYuTe-15,,18.023584,C46,$^{15}$NH$_3$,0,0,3,1,0
Ni,58Ni__Kurucz,Ni,58.6934,C47,Ni,0,0,0,0,0
N2O,14N2-16O__HITEMP,N2O1,44.001062,C48,N$_2$O,0,1,0,2,0
NO,14N-16O__XABC,N1O1,29.9979886,C49,NO,0,1,0,1,0
NO2,14N-16O2__HITEMP,N1O2,45.992904,C50,NO$_2$,0,2,0,1,0
O,16O__Kurucz,O,15.999,C51,O,0,1,0,0,0
OCS,16O-12C-32S__OYT8,C1O1S1,59.966986,C52,OCS,1,1,0,0,1
OH,16O-1H__MYTHOS,H1O1,17.00274,C53,OH,0,1,1,0,0
